Specimen	SSU	EF1A_1	EF1A_2	COX1	Clade
LE296915	30	44	44	28	Hc
LE296909	29	44	44	28	Hc
LE289901	26	44	44	28	Hc
LE289868	31	44	44	28	Hc
LE289871	31	44	44	28	Hc
LE296834	26	44	44	28	Hc
LE289958	30	44	44	28	Hc
LE289965	30	44	44	28	Hc
LE289828	29	44	44	28	Hc
LE289792	26	44	44	28	Hc
LE297151	23	32	75	24	Ha
LE297166	29	44	44	28	Hc
LE297158	28	44	44	28	Hc
LE297144	25	36	80	27	Hb
LE297146	25	36	80	27	Hb
LE297145	25	36	84	27	Hb
LE297168	30	44	44	28	Hc
LE297125	25	36	84	27	Hb
LE296816	21	36	36	27	Hb
LE296811	21	36	36	27	Hb
LE296813	21	36	36	27	Hb
LE297079	21	36	79	27	Hb
LE297049	30	44	44	29	Hc
LE297064	27	44	44	28	Hc
LE297045	21	36	36	27	Hb
LE297034	21	36	79	27	Hb
LE297013	25	36	36	27	Hb
LE297022	21	36	36	27	Hb
LE296929	21	36	78	27	Hb
LE296967	30	44	44	28	Hc
LE305883	23	32	75	24	Ha
LE305890	23	32	75	24	Ha
LE297185	21	36	78	27	Hb
LE297188	21	36	78	27	Hb
LE297177	25	36	84	27	Hb
LE297178	26	44	44	28	Hc
LE297179	26	44	44	28	Hc
LE297181	26	44	44	28	Hc
LE297182	26	44	44	28	Hc
LE297184	26	44	44	28	Hc
LE297180	26	44	44	28	Hc
