Specimen	SSU	EF1A_1	EF1A_2	COX1	Clade
LE296915	30	44	44	28	Hc
LE296909	29	44	44	28	Hc
LE289901	26	44	44	28	Hc
LE289868	31	44	44	28	Hc
LE289871	31	44	44	28	Hc
LE296834	26	44	44	28	Hc
LE289958	30	44	44	28	Hc
LE289965	30	44	44	28	Hc
LE289828	29	44	44	28	Hc
LE289792	26	44	44	28	Hc
LE297166	29	44	44	28	Hc
LE297158	28	44	44	28	Hc
LE297168	30	44	44	28	Hc
LE297049	30	44	44	29	Hc
LE297064	27	44	44	28	Hc
LE296967	30	44	44	28	Hc
LE297178	26	44	44	28	Hc
LE297179	26	44	44	28	Hc
LE297181	26	44	44	28	Hc
LE297182	26	44	44	28	Hc
LE297184	26	44	44	28	Hc
LE297180	26	44	44	28	Hc
