Specimen	SSU	EF1A_1	EF1A_2	COX1	Clade
Sc30077	11	15	70	10	D
Sc30080	3	10	64	6	B
Sc30087	11	15	70	10	D
Sc30112	15	23	23	17	Fa
Sc30117	42	56	56	43	M
Sc30123	15	23	23	16	Fa
Sc30135	19	27	27	21	G
Sc30138	18	30	30	22	G
Sc30144	18	30	30	22	G
Sc30206	15	23	23	16	Fa
Sc30209	15	23	23	16	Fa
Sc30210	15	23	23	16	Fa
Sc30211	12	72	73	12	D
Sc30214	15	23	23	16	Fa
Sc30215	3	10	87	6	B
Sc30221	15	23	23	16	Fa
Sc30229	15	23	23	16	Fa
Sc30230	15	23	23	16	Fa
Sc30233	15	23	23	16	Fa
Sc30234	15	23	23	16	Fa
Sc30235	15	23	23	16	Fa
Sc30237	13	14	14	13	D
Sc30238	15	23	23	16	Fa
Sc30242	11	15	70	10	D
Sc30246	3	10	87	6	B
Sc30248	3	10	87	6	B
Sc30255	12	15	15	13	D
Sc30261	18	30	30	22	G
Sc30264	20	26	26	23	G
Sc30272	3	10	64	6	B
Sc30284	12	17	17	13	D
Sc30348	3	10	64	6	B
Sc30358	12	15	15	13	D
Sc30377	12	15	15	13	D
Sc30391	12	15	15	13	D
Sc30394	12	15	15	13	D
